intensidade,quantidade
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,4
51,9
52,13
53,18
54,22
55,27
56,30
57,35
58,39
59,44
60,49
61,52
62,57
63,61
64,66
65,66
66,66
67,66
68,66
69,66
70,65
71,68
72,64
73,67
74,65
75,66
76,66
77,66
78,68
79,64
80,67
81,65
82,66
83,66
84,65
85,5108
86,66
87,65
88,66
89,67
90,73
91,75
92,79
93,85
94,85
95,91
96,93
97,100
98,104
99,106
100,113
101,113
102,122
103,125
104,131
105,134
106,137
107,143
108,145
109,152
110,156
111,165
112,174
113,180
114,187
115,199
116,209
117,216
118,226
119,234
120,243
121,253
122,258
123,270
124,279
125,286
126,298
127,301
128,315
129,321
130,331
131,341
132,345
133,341
134,333
135,332
136,329
137,329
138,330
139,326
140,322
141,318
142,318
143,313
144,309
145,311
146,306
147,305
148,303
149,301
150,4242
151,300
152,297
153,296
154,296
155,292
156,288
157,282
158,280
159,273
160,270
161,266
162,261
163,258
164,253
165,253
166,246
167,237
168,229
169,222
170,215
171,210
172,202
173,195
174,188
175,189
176,184
177,183
178,2439
179,184
180,183
181,187
182,193
183,202
184,217
185,233
186,236
187,235
188,236
189,235
190,237
191,240
192,241
193,247
194,252
195,257
196,260
197,266
198,268
199,274
200,277
201,282
202,282
203,281
204,282
205,280
206,282
207,282
208,282
209,281
210,282
211,282
212,287
213,290
214,295
215,300
216,301
217,302
218,300
219,302
220,292
221,274
222,258
223,254
224,245
225,240
226,234
227,229
228,225
229,222
230,5619
231,213
232,213
233,209
234,206
235,204
236,202
237,195
238,190
239,182
240,177
241,172
242,166
243,161
244,155
245,150
246,145
247,141
248,135
249,132
250,127
251,123
252,118
253,114
254,110
255,8888
