intensidade,quantidade
0,7528
1,0
2,85
3,0
4,91
5,93
6,100
7,0
8,104
9,0
10,106
11,113
12,113
13,0
14,122
15,0
16,125
17,131
18,134
19,0
20,137
21,0
22,143
23,145
24,152
25,0
26,156
27,0
28,165
29,174
30,180
31,0
32,187
33,0
34,199
35,209
36,216
37,0
38,226
39,0
40,234
41,243
42,253
43,0
44,258
45,0
46,270
47,279
48,286
49,0
50,298
51,0
52,301
53,315
54,321
55,0
56,331
57,0
58,341
59,345
60,341
61,0
62,333
63,0
64,332
65,329
66,329
67,0
68,330
69,0
70,326
71,322
72,318
73,0
74,318
75,0
76,313
77,309
78,311
79,0
80,306
81,0
82,305
83,303
84,301
85,0
86,4242
87,0
88,300
89,297
90,296
91,0
92,296
93,0
94,292
95,288
96,282
97,0
98,280
99,0
100,273
101,270
102,266
103,0
104,261
105,0
106,258
107,253
108,253
109,0
110,246
111,0
112,237
113,229
114,222
115,0
116,215
117,0
118,210
119,202
120,195
121,0
122,188
123,0
124,189
125,184
126,183
127,0
128,2439
129,0
130,184
131,183
132,187
133,0
134,193
135,0
136,202
137,217
138,233
139,0
140,236
141,0
142,235
143,236
144,235
145,0
146,237
147,0
148,240
149,241
150,247
151,0
152,252
153,0
154,257
155,260
156,266
157,0
158,268
159,0
160,274
161,277
162,282
163,0
164,282
165,0
166,281
167,282
168,280
169,0
170,282
171,0
172,282
173,282
174,281
175,0
176,282
177,0
178,282
179,287
180,290
181,0
182,295
183,0
184,300
185,301
186,302
187,0
188,300
189,0
190,302
191,292
192,274
193,0
194,258
195,0
196,254
197,245
198,240
199,0
200,234
201,0
202,229
203,225
204,222
205,0
206,5619
207,0
208,213
209,213
210,209
211,0
212,206
213,0
214,204
215,202
216,195
217,0
218,190
219,0
220,182
221,177
222,172
223,0
224,166
225,0
226,161
227,155
228,150
229,0
230,145
231,0
232,141
233,135
234,132
235,0
236,127
237,0
238,123
239,118
240,114
241,0
242,110
243,0
244,105
245,102
246,98
247,0
248,95
249,0
250,91
251,89
252,87
253,0
254,84
255,8137
